"Group","Exclusion","Density"
"Control",0,4.43952435344779
"Control",0,4.76982251051672
"Control",0,6.55870831414912
"Control",0,5.07050839142458
"Control",0,5.12928773516095
"Control",0,6.71506498688328
"Control",0,5.4609162059892
"Control",0,3.73493876539347
"Control",0,4.31314714810647
"Control",0,4.55433802990004
"Control",0,6.22408179743946
"Control",0,5.35981382705736
"Control",0,5.40077145059405
"Control",0,5.11068271594512
"Control",0,4.44415886524593
"Control",0,6.78691313680308
"Control",0,5.49785047822924
"Control",0,3.03338284337036
"Control",0,5.70135590156369
"Control",0,4.52720859227207
"Control",0,3.93217629401315
"Control",0,4.7820250853417
"Control",0,3.97399555169276
"Control",0,4.27110877070886
"Control",0,4.37496073215074
"Exclusion",1,5.81330668925759
"Exclusion",1,8.33778704449452
"Exclusion",1,7.65337311783651
"Exclusion",1,6.36186306298805
"Exclusion",1,8.75381492106993
"Exclusion",1,7.92646422147681
"Exclusion",1,7.20492851700773
"Exclusion",1,8.39512566104502
"Exclusion",1,8.37813348753304
"Exclusion",1,8.32158108163749
"Exclusion",1,8.18864025410009
"Exclusion",1,8.05391765353759
"Exclusion",1,7.43808828942328
"Exclusion",1,7.19403733626008
"Exclusion",1,7.11952899898762
"Exclusion",1,6.80529302107949
"Exclusion",1,7.2920827219804
"Exclusion",1,6.23460364843174
"Exclusion",1,9.66895596533851
"Exclusion",1,8.70796199830499
"Exclusion",1,6.37689141679665
"Exclusion",1,7.09711516470092
"Exclusion",1,7.03334464637678
"Exclusion",1,8.27996511833632
"Exclusion",1,7.41663093352817
