"Sex","dummySex.Male","Treatment","dummyTreatment.Treatment","Size"
"Females",0,"Control",0,1.69870077119242
"Females",0,"Control",0,1.60967939190161
"Females",0,"Control",0,1.54774634702229
"Females",0,"Control",0,1.37441878479213
"Females",0,"Control",0,1.772130489706
"Females",0,"Control",0,1.37994808257057
"Females",0,"Control",0,1.93746659860332
"Females",0,"Control",0,1.80652212523704
"Females",0,"Control",0,1.4528599281799
"Females",0,"Control",0,1.29471581993864
"Females",0,"Control",0,1.35791868726014
"Females",0,"Control",0,1.55137674183131
"Females",0,"Control",0,1.45066162430753
"Females",0,"Control",0,1.43049148012045
"Females",0,"Control",0,1.309676286547
"Females",0,"Control",0,1.49099445503822
"Females",0,"Control",0,1.34301910610858
"Females",0,"Control",0,1.16641161268237
"Females",0,"Control",0,1.42395469594245
"Females",0,"Control",0,1.68379932181215
"Females",0,"Control",0,1.38493060747832
"Females",0,"Control",0,1.62159286444501
"Females",0,"Control",0,1.17642345834217
"Females",0,"Control",0,1.48888760689509
"Females",0,"Control",0,1.60388144078869
"Females",0,"Treatment",1,2.06023067243334
"Females",0,"Treatment",1,2.02113523882979
"Females",0,"Treatment",1,1.87185879833892
"Females",0,"Treatment",1,1.83005913079328
"Females",0,"Treatment",1,1.79517424187902
"Females",0,"Treatment",1,2.02352931942003
"Females",0,"Treatment",1,1.81050507716304
"Females",0,"Treatment",1,1.90188851125987
"Females",0,"Treatment",1,1.94878156156035
"Females",0,"Treatment",1,2.36877240104644
"Females",0,"Treatment",1,1.86961001966091
"Females",0,"Treatment",1,2.04707731445697
"Females",0,"Treatment",1,2.01559216991274
"Females",0,"Treatment",1,1.80762867317397
"Females",0,"Treatment",1,1.98573838277528
"Females",0,"Treatment",1,2.28891017168467
"Females",0,"Treatment",1,2.09030081061584
"Females",0,"Treatment",1,2.00824658439859
"Females",0,"Treatment",1,1.91550063353208
"Females",0,"Treatment",1,1.5893505556919
"Females",0,"Treatment",1,2.22626744268284
"Females",0,"Treatment",1,1.70787198581504
"Females",0,"Treatment",1,2.14798950217547
"Females",0,"Treatment",1,2.3818207138435
"Females",0,"Treatment",1,1.71122136780564
"Males",1,"Control",0,2.14035686707494
"Males",1,"Control",0,1.94756050211951
"Males",1,"Control",0,1.6855711681709
"Males",1,"Control",0,1.69706646924365
"Males",1,"Control",0,1.67969276528508
"Males",1,"Control",0,1.89381869556594
"Males",1,"Control",0,1.70764888300082
"Males",1,"Control",0,2.13758335459517
"Males",1,"Control",0,2.42002178810513
"Males",1,"Control",0,1.74259390479296
"Males",1,"Control",0,2.15754776949504
"Males",1,"Control",0,2.15380844820018
"Males",1,"Control",0,2.06644051579002
"Males",1,"Control",0,1.7983246783446
"Males",1,"Control",0,1.97610947867387
"Males",1,"Control",0,1.94392093296595
"Males",1,"Control",0,2.1125979066441
"Males",1,"Control",0,1.92551224877923
"Males",1,"Control",0,2.19539467733712
"Males",1,"Control",0,1.9250838284466
"Males",1,"Control",0,2.21054229311587
"Males",1,"Control",0,1.79016459866679
"Males",1,"Control",0,1.74796895104838
"Males",1,"Control",0,2.64820798698848
"Males",1,"Control",0,1.91662848236791
"Males",1,"Treatment",1,3.05964551830814
"Males",1,"Treatment",1,3.12731393480677
"Males",1,"Treatment",1,2.90324387485825
"Males",1,"Treatment",1,3.10337240886272
"Males",1,"Treatment",1,3.07379290547702
"Males",1,"Treatment",1,2.95692389847166
"Males",1,"Treatment",1,3.01305860670506
"Males",1,"Treatment",1,2.99318654925231
"Males",1,"Treatment",1,3.42569037980324
"Males",1,"Treatment",1,2.85173278074543
"Males",1,"Treatment",1,2.78080074658507
"Males",1,"Treatment",1,3.00755767983422
"Males",1,"Treatment",1,3.06209614988863
"Males",1,"Treatment",1,3.08730469578204
"Males",1,"Treatment",1,2.90832693345778
"Males",1,"Treatment",1,2.78733477320576
"Males",1,"Treatment",1,3.2526370352179
"Males",1,"Treatment",1,2.93006992240929
"Males",1,"Treatment",1,2.82689742746933
"Males",1,"Treatment",1,2.95274408621178
"Males",1,"Treatment",1,2.96056482113029
"Males",1,"Treatment",1,3.22198405794273
"Males",1,"Treatment",1,3.01694745843944
"Males",1,"Treatment",1,3.1508107570369
"Males",1,"Treatment",1,2.90014159656555
