"Plot","Month","Jan","Apr","Jul","Oct","Treatment","Treated","PlotError","ResidualError","Lizards"
1,"January",1,0,0,0,"Control",0,-1.96166476293274,3.67224539231838,26.7105806293856
1,"April",0,1,0,0,"Control",0,-1.96166476293274,1.07944148117209,32.1177767182393
1,"July",0,0,1,0,"Control",0,-1.96166476293274,1.20231435178216,28.2406495888494
1,"October",0,0,0,1,"Control",0,-1.96166476293274,0.332048147835359,22.3703833849026
2,"January",1,0,0,0,"Control",0,-0.80562121319148,-1.66752340426222,22.5268553825463
2,"April",0,1,0,0,"Control",0,-0.80562121319148,5.36073941040923,37.5551181972178
2,"July",0,0,1,0,"Control",0,-0.80562121319148,1.49355143468772,29.6879302214962
2,"October",0,0,0,1,"Control",0,-0.80562121319148,-5.89985146988891,17.2945273169196
3,"January",1,0,0,0,"Control",0,5.45547909952193,2.10406770469106,32.559546804213
3,"April",0,1,0,0,"Control",0,5.45547909952193,-1.4183742231838,37.0371048763381
3,"July",0,0,1,0,"Control",0,5.45547909952193,-3.20347111796054,31.2520079815614
3,"October",0,0,0,1,"Control",0,5.45547909952193,-0.653924743974885,28.801554355547
4,"January",1,0,0,0,"Control",0,0.246779369986016,-3.07801334492172,22.1687660250643
4,"April",0,1,0,0,"Control",0,0.246779369986016,-2.18667368787342,31.0601056821126
4,"July",0,0,1,0,"Control",0,0.246779369986016,-1.87511780354777,27.3716615664382
4,"October",0,0,0,1,"Control",0,0.246779369986016,-5.06007993222724,19.1866994377588
5,"January",1,0,0,0,"Control",0,0.452507073063312,2.51336113348357,27.9658682065469
5,"April",0,1,0,0,"Control",0,0.452507073063312,0.460119353509546,33.9126264265729
5,"July",0,0,1,0,"Control",0,0.452507073063312,-3.41441081103584,26.0380962620275
5,"October",0,0,0,1,"Control",0,0.452507073063312,3.76144476320978,28.2139518362731
6,"January",1,0,0,0,"Food+",1,6.00272745409148,1.27939266443044,32.2821201185219
6,"April",0,1,0,0,"Food+",1,6.00272745409148,-0.885214448976813,43.1175130051147
6,"July",0,0,1,0,"Food+",1,6.00272745409148,2.68537698313507,39.6881044372265
6,"October",0,0,0,1,"Food+",1,6.00272745409148,2.63440046259913,32.6371279166906
7,"January",1,0,0,0,"Food+",1,1.61320672096221,2.46474324491246,29.0779499658747
7,"April",0,1,0,0,"Food+",1,1.61320672096221,2.06592076230027,41.6791274832625
7,"July",0,0,1,0,"Food+",1,1.61320672096221,1.66175296061277,34.274959681575
7,"October",0,0,0,1,"Food+",1,1.61320672096221,-0.185735131730165,25.427471589232
8,"January",1,0,0,0,"Food+",1,-4.42771432112287,-0.91788799121975,19.6543976876574
8,"April",0,1,0,0,"Food+",1,-4.42771432112287,-1.14141300303715,32.43087267584
8,"July",0,0,1,0,"Food+",1,-4.42771432112287,-2.08412093676154,24.4881647421156
8,"October",0,0,0,1,"Food+",1,-4.42771432112287,-0.623751834058796,18.9485338448183
9,"January",1,0,0,0,"Food+",1,-2.40398498162734,-3.79618905470479,18.7998259636679
9,"April",0,1,0,0,"Food+",1,-2.40398498162734,6.50686789601554,42.1028829143882
9,"July",0,0,1,0,"Food+",1,-2.40398498162734,3.62388599491497,32.2199010132876
9,"October",0,0,0,1,"Food+",1,-2.40398498162734,-3.36932574961005,18.2266892687626
10,"January",1,0,0,0,"Food+",1,-1.55981689534985,-1.20865450589723,22.2315285987529
10,"April",0,1,0,0,"Food+",1,-1.55981689534985,-1.39996606086966,35.0402170437805
10,"July",0,0,1,0,"Food+",1,-1.55981689534985,2.33989535500895,31.7800784596591
10,"October",0,0,0,1,"Food+",1,-1.55981689534985,-0.250107199415488,22.1900759052347
