"YearSinceBurn","SageDensity","Water","Presence"
0,162,0,0
8,155.5,0,0
0,60.2,1,1
10,51,0,0
2,115.4,1,1
2,21.9,1,1
54,190.1,0,1
0,158.6,1,1
7,51.3,0,0
0,49.6,0,0
6,96.5,1,0
9,46.1,0,0
25,96.2,0,0
8,99.1,0,0
1,68.3,1,0
4,178.4,0,1
20,132.2,0,1
11,103.9,1,1
71,69.4,0,1
24,41.3,0,0
5,134.7,0,0
9,140.5,1,1
4,10.3,1,0
0,133,1,0
12,87.3,0,1
2,94.1,0,1
36,129.2,0,0
17,181,0,0
11,156,1,1
31,199.2,0,0
28,29.6,1,0
36,157.5,0,0
2,163.6,1,1
0,173.8,0,0
2,114.4,1,1
8,82.4,0,1
13,37,1,0
0,199.2,0,0
23,51.7,0,1
6,155.2,0,0
55,182.7,0,1
1,44.5,1,1
0,153.3,0,0
0,173.8,0,0
0,26,1,0
9,131.9,0,1
54,13.6,0,0
26,134.2,1,1
0,185.4,0,0
10,28.4,1,1
0,46.1,0,1
30,193.1,0,0
0,137.5,0,0
3,62.3,0,0
16,60.7,0,0
7,183.4,0,0
0,16.5,0,0
0,44.4,0,0
3,100.3,0,1
3,123,1,0
21,194.6,0,0
7,139.4,1,1
39,72.1,1,1
15,92.7,0,0
23,195.7,0,0
2,89.4,0,0
8,59.5,0,0
3,56.7,0,1
0,117.4,1,0
0,122.5,0,0
1,35.4,0,0
2,99.4,1,1
2,105.6,0,0
0,53.8,0,0
11,19.3,0,0
0,170.2,1,1
1,13.1,1,0
12,62.2,1,0
0,80.3,0,0
10,58.4,0,0
3,92.2,0,0
0,67.6,1,0
0,131.2,0,0
2,91.3,0,0
7,94.1,0,0
4,106.1,0,1
4,72.8,0,0
2,115.8,0,0
2,183.1,1,0
0,132,1,1
0,15.7,0,0
5,90,0,0
5,140,1,1
4,16.1,0,0
15,167.8,1,1
26,93,0,0
5,60.4,1,0
8,145.6,1,1
11,184.2,1,1
3,144.5,0,1
