"Habitat","Desert","Grassland","Sagebrush","UnderstoryDensity","SpeciesCount"
"desert",1,0,0,59,2
"desert",1,0,0,73,4
"desert",1,0,0,37,4
"desert",1,0,0,51,2
"desert",1,0,0,38,2
"desert",1,0,0,42,2
"desert",1,0,0,1,2
"desert",1,0,0,53,5
"desert",1,0,0,43,4
"desert",1,0,0,9,0
"desert",1,0,0,56,2
"desert",1,0,0,59,3
"desert",1,0,0,7,1
"desert",1,0,0,5,3
"desert",1,0,0,16,0
"desert",1,0,0,45,0
"desert",1,0,0,17,1
"desert",1,0,0,97,4
"desert",1,0,0,31,3
"desert",1,0,0,61,2
"desert",1,0,0,43,3
"desert",1,0,0,29,3
"desert",1,0,0,34,2
"desert",1,0,0,39,3
"desert",1,0,0,97,3
"desert",1,0,0,32,0
"desert",1,0,0,65,3
"desert",1,0,0,28,1
"desert",1,0,0,79,2
"desert",1,0,0,60,0
"desert",1,0,0,6,2
"desert",1,0,0,51,1
"desert",1,0,0,47,1
"desert",1,0,0,47,0
"desert",1,0,0,36,1
"desert",1,0,0,71,4
"desert",1,0,0,12,2
"desert",1,0,0,78,2
"desert",1,0,0,64,3
"desert",1,0,0,81,4
"grassland",0,1,0,64,13
"grassland",0,1,0,33,8
"grassland",0,1,0,64,17
"grassland",0,1,0,93,30
"grassland",0,1,0,58,17
"grassland",0,1,0,37,5
"grassland",0,1,0,44,12
"grassland",0,1,0,86,21
"grassland",0,1,0,63,21
"grassland",0,1,0,79,15
"grassland",0,1,0,73,22
"grassland",0,1,0,59,26
"grassland",0,1,0,3,8
"grassland",0,1,0,33,16
"grassland",0,1,0,100,32
"grassland",0,1,0,55,13
"grassland",0,1,0,58,22
"grassland",0,1,0,46,20
"grassland",0,1,0,10,14
"grassland",0,1,0,81,27
"grassland",0,1,0,0,8
"grassland",0,1,0,47,11
"grassland",0,1,0,17,7
"grassland",0,1,0,26,11
"grassland",0,1,0,92,29
"grassland",0,1,0,23,13
"grassland",0,1,0,5,8
"grassland",0,1,0,30,10
"grassland",0,1,0,1,11
"grassland",0,1,0,30,13
"grassland",0,1,0,88,33
"grassland",0,1,0,67,18
"grassland",0,1,0,45,6
"grassland",0,1,0,5,8
"grassland",0,1,0,63,29
"grassland",0,1,0,44,20
"grassland",0,1,0,27,6
"grassland",0,1,0,98,26
"grassland",0,1,0,10,5
"grassland",0,1,0,79,31
"sagebrush",0,0,1,12,2
"sagebrush",0,0,1,88,9
"sagebrush",0,0,1,13,5
"sagebrush",0,0,1,40,6
"sagebrush",0,0,1,9,4
"sagebrush",0,0,1,37,8
"sagebrush",0,0,1,68,10
"sagebrush",0,0,1,73,8
"sagebrush",0,0,1,77,18
"sagebrush",0,0,1,58,11
"sagebrush",0,0,1,51,12
"sagebrush",0,0,1,85,6
"sagebrush",0,0,1,63,7
"sagebrush",0,0,1,58,9
"sagebrush",0,0,1,74,2
"sagebrush",0,0,1,39,0
"sagebrush",0,0,1,99,6
"sagebrush",0,0,1,40,7
"sagebrush",0,0,1,98,13
"sagebrush",0,0,1,82,9
"sagebrush",0,0,1,58,10
"sagebrush",0,0,1,14,4
"sagebrush",0,0,1,94,11
"sagebrush",0,0,1,18,3
"sagebrush",0,0,1,82,14
"sagebrush",0,0,1,1,3
"sagebrush",0,0,1,64,13
"sagebrush",0,0,1,27,9
"sagebrush",0,0,1,57,5
"sagebrush",0,0,1,97,12
"sagebrush",0,0,1,20,4
"sagebrush",0,0,1,69,12
"sagebrush",0,0,1,84,14
"sagebrush",0,0,1,90,12
"sagebrush",0,0,1,96,17
"sagebrush",0,0,1,66,10
"sagebrush",0,0,1,55,8
"sagebrush",0,0,1,89,17
"sagebrush",0,0,1,45,7
"sagebrush",0,0,1,74,9
