"Field","Treatment","Control","T1","T2","FieldError","Error","Biomass"
1,"Control",1,0,0,-0.280237823276106,0.460916205989202,20.1806783827131
1,"Control",1,0,0,-0.280237823276106,-1.26506123460653,18.4547009421174
1,"Control",1,0,0,-0.280237823276106,-0.686852851893526,19.0329093248304
2,"Control",1,0,0,-0.11508874474164,-0.445661970099958,19.4392492851584
2,"Control",1,0,0,-0.11508874474164,1.22408179743946,21.1089930526978
2,"Control",1,0,0,-0.11508874474164,0.359813827057364,20.2447250823157
3,"T1",0,1,0,0.779354157074562,0.400771450594052,31.1801256076686
3,"T1",0,1,0,0.779354157074562,0.11068271594512,30.8900368730197
3,"T1",0,1,0,0.779354157074562,-0.555841134754075,30.2235130223205
4,"T1",0,1,0,0.035254195712288,1.78691313680308,31.8221673325154
4,"T1",0,1,0,0.035254195712288,0.497850478229239,30.5331046739415
4,"T1",0,1,0,0.035254195712288,-1.96661715662964,28.0686370390826
5,"T2",0,0,1,0.0646438675804731,0.701355901563686,40.7659997691442
5,"T2",0,0,1,0.0646438675804731,-0.472791407727934,39.5918524598525
5,"T2",0,0,1,0.0646438675804731,-1.06782370598685,38.9968201615936
6,"T2",0,0,1,0.85753249344164,-0.217974914658295,40.6395575787833
6,"T2",0,0,1,0.85753249344164,-1.02600444830724,39.8315280451344
6,"T2",0,0,1,0.85753249344164,-0.72889122929114,40.1286412641505
