"Field","Bison","Fertilizer","Water","WaterMed","WaterHigh","FieldError","BisonError","FertError","Error","Biomass"
1,0,0,"Low",0,0,-0.560475646552213,0.921832411978405,1.40271180312737,-1.26539635156826,20.4986722169853
1,0,0,"Medium",1,0,-0.560475646552213,0.921832411978405,1.40271180312737,2.16895596533851,33.9330245338921
1,0,0,"High",0,1,-0.560475646552213,0.921832411978405,1.40271180312737,1.20796199830499,32.9720305668585
1,0,1,"Low",0,0,-0.560475646552213,0.921832411978405,-0.945582815455868,-1.12310858320335,28.292665366767
1,0,1,"Medium",1,0,-0.560475646552213,0.921832411978405,-0.945582815455868,-0.402884835299076,39.0128891146713
1,0,1,"High",0,1,-0.560475646552213,0.921832411978405,-0.945582815455868,-0.466655353623219,38.9491185963471
1,1,0,"Low",0,0,-0.560475646552213,-2.53012246921307,-2.13564741197369,0.779965118336318,25.5537195905973
1,1,0,"Medium",1,0,-0.560475646552213,-2.53012246921307,-2.13564741197369,-0.0833690664718293,34.6903854057892
1,1,0,"High",0,1,-0.560475646552213,-2.53012246921307,-2.13564741197369,0.253318513994755,35.0270729862558
1,1,1,"Low",0,0,-0.560475646552213,-2.53012246921307,-0.43594982931659,-0.028546755348703,36.4449052995694
1,1,1,"Medium",1,0,-0.560475646552213,-2.53012246921307,-0.43594982931659,-0.0428704572913161,46.4305815976268
1,1,1,"High",0,1,-0.560475646552213,-2.53012246921307,-0.43594982931659,1.36860228401446,47.8420543389326
2,0,0,"Low",0,0,-0.23017748948328,-1.37370570378705,-2.05200889661448,-0.225770985659268,16.1183369244559
2,0,0,"Medium",1,0,-0.23017748948328,-1.37370570378705,-2.05200889661448,1.51647060442954,27.8605785145447
2,0,0,"High",0,1,-0.23017748948328,-1.37370570378705,-2.05200889661448,-1.54875280423022,24.795355105885
2,0,1,"Low",0,0,-0.23017748948328,-1.37370570378705,-1.45778245858228,0.584613749636069,27.5229480977835
2,0,1,"Medium",1,0,-0.23017748948328,-1.37370570378705,-1.45778245858228,0.123854243844614,37.062188591992
2,0,1,"High",0,1,-0.23017748948328,-1.37370570378705,-1.45778245858228,0.215941568743973,37.1542759168914
2,1,0,"Low",0,0,-0.23017748948328,-0.891323940199916,-1.25007853569851,0.379639482759882,28.0080595173782
2,1,0,"Medium",1,0,-0.23017748948328,-0.891323940199916,-1.25007853569851,-0.502323453109302,37.126096581509
2,1,0,"High",0,1,-0.23017748948328,-0.891323940199916,-1.25007853569851,-0.33320738366942,37.2952126509489
2,1,1,"Low",0,0,-0.23017748948328,-0.891323940199916,-3.37338662148483,-1.01857538310709,34.4865365657249
2,1,1,"Medium",1,0,-0.23017748948328,-0.891323940199916,-3.37338662148483,-1.07179122647558,44.4333207223564
2,1,1,"High",0,1,-0.23017748948328,-0.891323940199916,-3.37338662148483,0.303528641404258,45.8086405902362
3,0,0,"Low",0,0,1.55870831414912,2.44816359487892,1.67557408898905,0.448209778629426,26.1306557766465
3,0,0,"Medium",1,0,1.55870831414912,2.44816359487892,1.67557408898905,0.0530042267305041,35.7354502247476
3,0,0,"High",0,1,1.55870831414912,2.44816359487892,1.67557408898905,0.922267467879738,36.6047134658968
3,0,1,"Low",0,0,1.55870831414912,2.44816359487892,0.30674623567303,2.05008468562714,36.3637028303282
3,0,1,"Medium",1,0,1.55870831414912,2.44816359487892,0.30674623567303,-0.491031166056535,43.8225869786445
3,0,1,"High",0,1,1.55870831414912,2.44816359487892,0.30674623567303,-2.30916887564081,42.0044492690603
3,1,0,"Low",0,0,1.55870831414912,0.719627654114728,-2.2762738740239,1.00573852446226,31.0078006187022
3,1,0,"Medium",1,0,1.55870831414912,0.719627654114728,-2.2762738740239,-0.709200762582393,39.2928613316576
3,1,0,"High",0,1,1.55870831414912,0.719627654114728,-2.2762738740239,-0.688008616467358,39.3140534777726
3,1,1,"Low",0,0,1.55870831414912,0.719627654114728,2.50762984213985,1.0255713696967,45.8115371801004
3,1,1,"Medium",1,0,1.55870831414912,0.719627654114728,2.50762984213985,-0.284773007051009,54.5011928033527
3,1,1,"High",0,1,1.55870831414912,0.719627654114728,2.50762984213985,-1.22071771225454,53.5652480981492
4,0,0,"Low",0,0,0.070508391424576,0.801542901188104,0.852928442953627,0.18130347974915,21.9062832153155
4,0,0,"Medium",1,0,0.070508391424576,0.801542901188104,0.852928442953627,-0.138891362439045,31.5860883731273
4,0,0,"High",0,1,0.070508391424576,0.801542901188104,0.852928442953627,0.00576418589988693,31.7307439214662
4,0,1,"Low",0,0,0.070508391424576,0.801542901188104,-0.590142965984542,0.38528040112633,30.6671887277545
4,0,1,"Medium",1,0,0.070508391424576,0.801542901188104,-0.590142965984542,-0.370660031792409,39.9112482948357
4,0,1,"High",0,1,0.070508391424576,0.801542901188104,-0.590142965984542,0.644376548518833,40.926284875147
4,1,0,"Low",0,0,0.070508391424576,0.221365431890239,1.79025132209004,-0.220486561818751,31.8616385835861
4,1,0,"Medium",1,0,0.070508391424576,0.221365431890239,1.79025132209004,0.331781963915697,42.4139071093206
4,1,0,"High",0,1,0.070508391424576,0.221365431890239,1.79025132209004,1.09683901314935,43.1789641585542
4,1,1,"Low",0,0,0.070508391424576,0.221365431890239,1.75626697506608,0.435181490833803,42.4833222892147
4,1,1,"Medium",1,0,0.070508391424576,0.221365431890239,1.75626697506608,-0.325931585531227,51.7222092128497
4,1,1,"High",0,1,0.070508391424576,0.221365431890239,1.75626697506608,1.14880761845109,53.196948416832
5,0,0,"Low",0,0,0.129287735160946,-1.11168226950815,1.64316216327497,0.993503855962119,21.6542714848899
5,0,0,"Medium",1,0,0.129287735160946,-1.11168226950815,1.64316216327497,0.54839695950807,31.2091645884358
5,0,0,"High",0,1,0.129287735160946,-1.11168226950815,1.64316216327497,0.238731735111441,30.8994993640392
5,0,1,"Low",0,0,0.129287735160946,-1.11168226950815,1.37728050820018,-0.627906076039371,29.7669798978136
5,0,1,"Medium",1,0,0.129287735160946,-1.11168226950815,1.37728050820018,1.36065244853001,41.755538422383
5,0,1,"High",0,1,0.129287735160946,-1.11168226950815,1.37728050820018,-0.600259587147127,39.7946263867058
5,1,0,"Low",0,0,0.129287735160946,3.57382627360616,1.10783530707518,2.18733299301658,36.9982823088589
5,1,0,"Medium",1,0,0.129287735160946,3.57382627360616,1.10783530707518,1.53261062618519,46.3435599420275
5,1,0,"High",0,1,0.129287735160946,3.57382627360616,1.10783530707518,-0.235700359100477,44.5752489567418
