"","Sex","Size","Male"
"1","Female",188.790487068956,0
"2","Female",195.396450210334,0
"3","Female",231.174166282982,0
"4","Female",201.410167828492,0
"5","Female",202.585754703219,0
"6","Female",234.301299737666,0
"7","Female",209.218324119784,0
"8","Female",174.698775307869,0
"9","Female",186.262942962129,0
"10","Female",191.086760598001,0
"11","Female",224.481635948789,0
"12","Female",207.196276541147,0
"13","Female",208.015429011881,0
"14","Female",202.213654318902,0
"15","Female",188.883177304918,0
"16","Female",235.738262736062,0
"17","Female",209.957009564585,0
"18","Female",160.667656867407,0
"19","Female",214.027118031274,0
"20","Female",190.544171845441,0
"21","Male",228.643525880263,1
"22","Male",245.640501706834,1
"23","Male",229.479911033855,1
"24","Male",235.422175414177,1
"25","Male",237.499214643015,1
"26","Male",216.266133785152,1
"27","Male",266.75574088989,1
"28","Male",253.06746235673,1
"29","Male",227.237261259761,1
"30","Male",275.076298421399,1
"31","Male",258.529284429536,1
"32","Male",244.098570340155,1
"33","Male",267.9025132209,1
"34","Male",267.562669750661,1
"35","Male",266.43162163275,1
"36","Male",263.772805082002,1
"37","Male",261.078353070752,1
"38","Male",248.761765788466,1
"39","Male",243.880746725202,1
"40","Male",242.390579979752,1
